Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Canada,15.46,16.11,16.72,16.93,16.33,16.73,17.10,17.04,17.46,17.41,16.44,15.53,15.16,15.67,15.56,15.08,15.33,16.27,16.56,15.46,15.06,15.33,15.14,15.51,15.73,16.08,16.48,16.49,16.71,17.26,16.84,16.92,17.53,17.25,17.22,16.46,17.09,16.56,15.40,15.47,15.37
Chile,2.13,2.05,1.96,1.90,1.63,1.68,1.73,1.77,1.86,1.90,1.86,1.58,1.61,1.68,1.60,1.63,1.62,1.93,2.30,2.36,2.22,2.26,2.33,2.56,2.70,3.11,3.54,3.59,3.77,3.41,3.24,3.27,3.35,3.59,3.58,3.64,4.04,4.09,3.86,4.08,4.42
Mexico,1.95,2.14,2.28,2.40,2.45,2.56,2.64,2.84,2.99,3.23,3.40,3.47,3.30,3.36,3.42,3.32,3.39,3.33,3.44,3.26,3.43,3.39,3.30,3.48,3.26,3.34,3.40,3.55,3.46,3.56,3.51,3.54,3.56,3.58,3.72,3.77,3.88,3.79,3.72,3.86,3.96
United States,20.66,21.59,22.17,21.26,20.19,21.22,21.87,21.71,21.63,20.47,19.98,18.80,18.50,19.13,19.06,18.79,19.22,19.91,19.96,19.46,19.07,19.03,19.24,19.31,19.28,19.66,20.08,19.84,19.71,20.18,19.91,19.47,19.55,19.65,19.50,19.02,19.10,18.34,16.88,17.53,16.94
